index,id,miss_distance,name,est_diameter_min,est_diameter_max,relative_velocity,absolute_magnitude,hazardous
0,2000433,26729521.13507704,433 Eros (A898 PA),23.0438466577,51.5276075896,21402.705247412,10.31,False
1,2000719,42582881.06079324,719 Albert (A911 TB),2.0443487103,4.5713026859,27551.5971939875,15.57,False
2,2001036,53721237.819369085,1036 Ganymed (A924 UB),37.8926498379,84.7305408852,51496.9232928228,9.23,False
3,2001566,8053781.761441007,1566 Icarus (1949 MA),1.4274305148,3.1918316641,108801.2963741598,16.35,True
4,2001580,35573935.508316,1580 Betulia (1950 KA),3.0658787593,6.8555133165,105157.7758512475,14.69,False
5,2001620,18715095.10256244,1620 Geographos (1951 RA),2.2727673228,5.0820622309,35077.8890795918,15.34,True
6,2001627,42485508.80951597,1627 Ivar (1929 SH),7.4568426097,16.6740069728,37802.1917071476,12.76,False
7,2001685,23419550.28844675,1685 Toro (1948 OA),3.602093458,8.0545258335,60803.6095897322,14.34,False
8,2001862,10684536.28614918,1862 Apollo (1932 HA),1.5942446807,3.5648394788,69044.8158722974,16.11,True
9,2001863,35481181.10392904,1863 Antinous (1948 EA),2.2108281036,4.9435619262,72847.5484083491,15.4,False
10,2001864,40567121.868716575,1864 Daedalus (1971 FA),2.9549829311,6.6075427063,79332.7501160546,14.77,False
11,2001865,35019093.41937234,1865 Cerberus (1971 UA),1.1982708007,2.6794149658,73716.2919131468,16.73,False
12,2001866,67375006.09308657,1866 Sisyphus (1972 XA),8.6408203645,19.3214617164,86394.0132850871,12.44,False
13,2001916,53319315.27153091,1916 Boreas (1953 RA),2.8090209395,6.2811617709,25568.5059466478,14.88,False
14,2001917,61922309.050957486,1917 Cuyo (1968 AA),3.5855433419,8.0175186488,72903.6878567832,14.35,False
15,2001943,40982671.13693519,1943 Anteros (1973 EC),1.9344387205,4.3255364773,39628.3263785327,15.69,False
16,2001980,49427995.16417061,1980 Tezcatlipoca (1950 LA),4.6190746028,10.328564805,50104.5921721937,13.8,False
17,2001981,13399773.006545436,1981 Midas (1973 EA),2.4019003012,5.3708123486,95427.6018897006,15.22,True
18,2002059,70947620.41487424,2059 Baboquivari (1963 UA),1.7004151927,3.8022439609,26427.6925273901,15.97,False
19,2002061,30009338.646075647,2061 Anza (1960 UA),1.4208720673,3.1771665298,41429.1866789797,16.36,False
20,2002062,21883274.694440804,2062 Aten (1976 AA),1.0105434154,2.2596437711,36907.7965951277,17.1,False
21,2002063,18198419.90323209,2063 Bacchus (1977 HB),0.930154254,2.0798881414,34486.0407159612,17.28,False
22,2002100,22425771.279001866,2100 Ra-Shalom (1978 RA),1.5085335612,3.3731835891,43870.6294064057,16.23,False
23,2002101,24086731.626285017,2101 Adonis (1936 CA),0.4972273129,1.1118340719,106221.773314039,18.64,True
24,2002102,20567325.302512795,2102 Tantalus (1975 YA),1.6770846216,3.750075218,117951.4076265396,16.0,True
25,2002201,55334045.185382605,2201 Oljato (1947 XC),2.3689449936,5.2971220406,69559.7212932718,15.25,True
26,2002212,44788213.3216162,2212 Hephaistos (1978 SB),5.230641758,11.6960705369,135956.2514753347,13.53,False
27,2002329,23663151.12161652,2329 Orthos (1976 WA),3.2550298576,7.2784680305,79986.5218333894,14.56,False
28,2002340,7217561.098653494,2340 Hathor (1976 UA),0.228325794,0.5105519964,42881.9437866535,20.33,True
29,2003103,17371863.726599976,3103 Eger (1982 BB),2.3689449936,5.2971220406,55482.0863452837,15.25,False
30,2003122,7066521.314623712,3122 Florence (1981 ET3),4.1357566488,9.2478330051,48724.6364241412,14.04,True
31,2003200,10312034.208937315,3200 Phaethon (1983 TB),3.5039264111,7.8350176433,114797.8645068154,14.4,True
32,2003288,40375629.13018287,3288 Seleucus (1982 DV),2.2623249055,5.058712276,37261.1969121395,15.35,False
33,2003352,61165589.55821876,3352 McAuliffe (1981 CW),1.7240703244,3.8551384433,5582.7741227747,15.94,False
34,2003360,44176048.06652956,3360 Syrinx (1981 VA),1.7240703244,3.8551384433,69230.1916538377,15.94,False
35,2003361,5768604.434985717,3361 Orpheus (1982 HR),0.3520099801,0.7871182442,29301.8398936627,19.39,True
36,2003362,22412353.113012,3362 Khufu (1984 QA),0.5815070396,1.30028927,57478.0943472912,18.3,True
37,2003553,52473415.83599141,3553 Mera (1985 JA),1.4013769717,3.1335741707,65437.7755543798,16.39,False
38,2003554,37699511.60952077,3554 Amun (1986 EB),1.8220277059,4.0741778073,46092.9070871298,15.82,False
39,2003671,41949207.476665854,3671 Dionysus (1984 KD),1.3383046182,2.9925401008,50621.3970833106,16.49,True
40,2003691,54023876.04571439,3691 Bede (1982 FT),2.9010484143,6.4869414603,38437.0684822134,14.81,False
41,2003752,20607941.21397652,3752 Camillo (1985 PA),2.3908645717,5.3461357073,108698.2164806468,15.23,False
42,2003753,49029697.56719976,3753 Cruithne (1986 TO),2.091967709,4.6777820041,73253.0591544024,15.52,False
43,2003838,29513309.059829544,3838 Epona (1986 WA),1.8991312347,4.246586539,106839.2811628598,15.73,False
44,2003908,20858235.83375901,3908 Nyx (1980 PA),0.9048049682,2.0232054153,31952.8659653736,17.34,False
45,2003988,27726850.296454247,3988 Huma (1986 LA),0.6832111991,1.5277066841,28559.1702720132,17.95,False
46,2004015,56724390.0767748,4015 Wilson-Harrington (1979 VA),1.6617090174,3.7156943217,74739.5550832104,16.02,True
